Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/6/15,5/6/15,0.041576238,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/7/15,5/7/15,0.032672409,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/8/15,5/8/15,0.036364682,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/9/15,5/9/15,0.034132249,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/10/15,5/10/15,0.038629579,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/11/15,5/11/15,0.038349145,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/12/15,5/12/15,0.044619462,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/13/15,5/13/15,0.046570642,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/14/15,5/14/15,0.046330157,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/15/15,5/15/15,0.049628141,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/16/15,5/16/15,0.049937341,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/17/15,5/17/15,0.04252361,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/18/15,5/18/15,0.031245988,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/19/15,5/19/15,0.030891688,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/20/15,5/20/15,0.035132382,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/21/15,5/21/15,0.037183686,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/22/15,5/22/15,0.036058644,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/23/15,5/23/15,0.041984248,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,5/24/15,5/24/15,0.042016005,"SMOS,Gro Intelligence"
