Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/6/15,5/6/15,0.125986136,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/7/15,5/7/15,0.119377189,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/8/15,5/8/15,0.113140157,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/9/15,5/9/15,0.118173122,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/10/15,5/10/15,0.117299869,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/11/15,5/11/15,0.099387729,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/12/15,5/12/15,0.114375196,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/13/15,5/13/15,0.114017566,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/14/15,5/14/15,0.133993499,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/15/15,5/15/15,0.136833223,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/16/15,5/16/15,0.116394194,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/17/15,5/17/15,0.10957036,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/18/15,5/18/15,0.109572058,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/19/15,5/19/15,0.111715255,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/20/15,5/20/15,0.113806364,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/21/15,5/21/15,0.097829236,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/22/15,5/22/15,0.118336052,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/23/15,5/23/15,0.117616944,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/24/15,5/24/15,0.115440338,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/25/15,5/25/15,0.12632469,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/26/15,5/26/15,0.117409088,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/27/15,5/27/15,0.113033277,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/28/15,5/28/15,0.11357008,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/29/15,5/29/15,0.116743421,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/30/15,5/30/15,0.142566158,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,5/31/15,5/31/15,0.141169008,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/1/15,6/1/15,0.128641877,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/2/15,6/2/15,0.063262978,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/3/15,6/3/15,0.114906419,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/4/15,6/4/15,0.169845778,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/5/15,6/5/15,0.169775575,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/6/15,6/6/15,0.19419407,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/7/15,6/7/15,0.187859903,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/8/15,6/8/15,0.170908044,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/9/15,6/9/15,0.189964331,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/10/15,6/10/15,0.189649957,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/11/15,6/11/15,0.147768112,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/12/15,6/12/15,0.146130691,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/13/15,6/13/15,0.136993715,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/14/15,6/14/15,0.149683296,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/15/15,6/15/15,0.149810807,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/16/15,6/16/15,0.124603264,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/17/15,6/17/15,0.116425513,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/18/15,6/18/15,0.114820178,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/19/15,6/19/15,0.145811522,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/20/15,6/20/15,0.158830335,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/21/15,6/21/15,0.146244133,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/22/15,6/22/15,0.156377687,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/23/15,6/23/15,0.156323907,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/24/15,6/24/15,0.152026132,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/25/15,6/25/15,0.157749239,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/26/15,6/26/15,0.158106671,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/27/15,6/27/15,0.19849037,"SMOS,Gro Intelligence"
