Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/6/15,5/6/15,0.216801915,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/7/15,5/7/15,0.217607664,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/8/15,5/8/15,0.209321232,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/9/15,5/9/15,0.246932521,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/10/15,5/10/15,0.245825742,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/11/15,5/11/15,0.208201779,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/12/15,5/12/15,0.191690829,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/13/15,5/13/15,0.181282813,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/14/15,5/14/15,0.197275753,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/15/15,5/15/15,0.197129635,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/16/15,5/16/15,0.186829021,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/17/15,5/17/15,0.192538115,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/18/15,5/18/15,0.184578592,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/19/15,5/19/15,0.159139226,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/20/15,5/20/15,0.158550587,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/21/15,5/21/15,0.153242548,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/22/15,5/22/15,0.178965896,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/23/15,5/23/15,0.175607656,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/24/15,5/24/15,0.220058119,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/25/15,5/25/15,0.226407176,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/26/15,5/26/15,0.20853949,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/27/15,5/27/15,0.24454924,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/28/15,5/28/15,0.244059756,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/29/15,5/29/15,0.186035334,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/30/15,5/30/15,0.179576848,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,5/31/15,5/31/15,0.192251764,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/1/15,6/1/15,0.326330617,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/2/15,6/2/15,0.313373669,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/3/15,6/3/15,0.24728811,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/4/15,6/4/15,0.216211587,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/5/15,6/5/15,0.210226662,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/6/15,6/6/15,0.334584167,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/7/15,6/7/15,0.335837015,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/8/15,6/8/15,0.237861591,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/9/15,6/9/15,0.206494305,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/10/15,6/10/15,0.200492119,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/11/15,6/11/15,0.234282287,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/12/15,6/12/15,0.235614552,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/13/15,6/13/15,0.207145963,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/14/15,6/14/15,0.229353166,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/15/15,6/15/15,0.228786533,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/16/15,6/16/15,0.195297085,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/17/15,6/17/15,0.181515241,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/18/15,6/18/15,0.176398019,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/19/15,6/19/15,0.223050974,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/20/15,6/20/15,0.223312812,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/21/15,6/21/15,0.253976576,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/22/15,6/22/15,0.280408789,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/23/15,6/23/15,0.259589348,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/24/15,6/24/15,0.246901301,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/25/15,6/25/15,0.249613903,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/26/15,6/26/15,0.215028938,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/27/15,6/27/15,0.21772183,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/28/15,6/28/15,0.216866245,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/29/15,6/29/15,0.231938772,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,6/30/15,6/30/15,0.231851397,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/1/15,7/1/15,0.24020436,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/2/15,7/2/15,0.256884086,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/3/15,7/3/15,0.277929844,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/4/15,7/4/15,0.247260875,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/5/15,7/5/15,0.240637581,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/6/15,7/6/15,0.209768898,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/7/15,7/7/15,0.189486086,"SMOS,Gro Intelligence"
