Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/6/15,5/6/15,0.017337939,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/7/15,5/7/15,0.013528256,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/8/15,5/8/15,0.013764434,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/9/15,5/9/15,0.015626253,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/10/15,5/10/15,0.016526814,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/11/15,5/11/15,0.01503188,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/12/15,5/12/15,0.015190451,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/13/15,5/13/15,0.017249321,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/14/15,5/14/15,0.01634341,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/15/15,5/15/15,0.014732348,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/16/15,5/16/15,0.014005057,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/17/15,5/17/15,0.016765899,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/18/15,5/18/15,0.018702904,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/19/15,5/19/15,0.015630037,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/20/15,5/20/15,0.014028169,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/21/15,5/21/15,0.013978431,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/22/15,5/22/15,0.016975881,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/23/15,5/23/15,0.018672158,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/24/15,5/24/15,0.015401971,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/25/15,5/25/15,0.013297511,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/26/15,5/26/15,0.013358672,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/27/15,5/27/15,0.013960887,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/28/15,5/28/15,0.015590747,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/29/15,5/29/15,0.014252349,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/30/15,5/30/15,0.014884727,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,5/31/15,5/31/15,0.01635666,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/1/15,6/1/15,0.015374583,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/2/15,6/2/15,0.015687106,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/3/15,6/3/15,0.014816387,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/4/15,6/4/15,0.015399744,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/5/15,6/5/15,0.017357884,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/6/15,6/6/15,0.015277918,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/7/15,6/7/15,0.013646763,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/8/15,6/8/15,0.01342234,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/9/15,6/9/15,0.017517552,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/10/15,6/10/15,0.020033095,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/11/15,6/11/15,0.016069133,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/12/15,6/12/15,0.013623998,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/13/15,6/13/15,0.013497051,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/14/15,6/14/15,0.01595581,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/15/15,6/15/15,0.017652809,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/16/15,6/16/15,0.015619854,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/17/15,6/17/15,0.014964479,"SMOS,Gro Intelligence"
