,image,pt0,pt1,template
0,DL372e.png,1984,203,l.png
1,DL372e.png,1985,203,l.png
2,DL372e.png,1985,204,l.png
3,DL372e.png,1984,228,l.png
4,DL372e.png,1985,228,l.png
5,DL372e.png,2004,228,l.png
6,DL372e.png,2005,228,l.png
7,DL372e.png,1985,229,l.png
8,DL372e.png,2005,229,l.png
9,DL372e.png,1985,252,l.png
10,DL372e.png,2005,252,l.png
11,DL372e.png,2006,252,l.png
12,DL372e.png,1985,253,l.png
13,DL372e.png,2006,253,l.png
14,DL372e.png,1941,272,l.png
15,DL372e.png,1942,272,l.png
16,DL372e.png,1961,272,l.png
17,DL372e.png,1962,272,l.png
18,DL372e.png,1942,273,l.png
19,DL372e.png,1962,273,l.png
20,DL372e.png,212,282,l.png
21,DL372e.png,212,283,l.png
22,DL372e.png,104,451,l.png
23,DL372e.png,105,451,l.png
24,DL372e.png,125,451,l.png
25,DL372e.png,126,451,l.png
26,DL372e.png,105,452,l.png
27,DL372e.png,126,452,l.png
28,DL372e.png,104,473,l.png
29,DL372e.png,105,473,l.png
30,DL372e.png,172,473,l.png
31,DL372e.png,173,473,l.png
32,DL372e.png,105,474,l.png
33,DL372e.png,173,474,l.png
34,DL372e.png,105,496,l.png
35,DL372e.png,106,496,l.png
36,DL372e.png,106,497,l.png
37,DL372e.png,212,497,l.png
38,DL372e.png,213,497,l.png
39,DL372e.png,255,497,l.png
40,DL372e.png,256,497,l.png
41,DL372e.png,213,498,l.png
42,DL372e.png,256,498,l.png
43,DL372e.png,190,518,l.png
44,DL372e.png,191,518,l.png
45,DL372e.png,214,518,l.png
46,DL372e.png,235,518,l.png
47,DL372e.png,236,518,l.png
48,DL372e.png,257,518,l.png
49,DL372e.png,191,519,l.png
50,DL372e.png,214,519,l.png
51,DL372e.png,236,519,l.png
52,DL372e.png,257,519,l.png
53,DL372e.png,905,526,l.png
54,DL372e.png,906,526,l.png
55,DL372e.png,906,527,l.png
56,DL372e.png,881,549,l.png
57,DL372e.png,882,549,l.png
58,DL372e.png,882,550,l.png
59,DL372e.png,905,550,l.png
60,DL372e.png,906,550,l.png
61,DL372e.png,906,551,l.png
62,DL372e.png,881,572,l.png
63,DL372e.png,882,572,l.png
64,DL372e.png,882,573,l.png
65,DL372e.png,125,430,b.png
66,DL372e.png,125,431,b.png
67,DL372e.png,127,476,b.png
68,DL372e.png,148,476,b.png
69,DL372e.png,126,498,b.png
70,DL372e.png,146,498,b.png
71,DL372e.png,126,499,b.png
72,DL364e.png,173,310,l.png
73,DL364e.png,174,310,l.png
74,DL364e.png,174,311,l.png
75,DL364e.png,150,357,l.png
76,DL364e.png,150,358,l.png
77,DL364e.png,171,379,l.png
78,DL364e.png,172,379,l.png
79,DL364e.png,150,380,l.png
80,DL364e.png,151,380,l.png
81,DL364e.png,172,380,l.png
82,DL364e.png,151,381,l.png
83,DL364e.png,129,402,l.png
84,DL364e.png,130,402,l.png
85,DL364e.png,172,402,l.png
86,DL364e.png,191,402,l.png
87,DL364e.png,192,402,l.png
88,DL364e.png,130,403,l.png
89,DL364e.png,192,403,l.png
90,DL364e.png,59,404,l.png
91,DL364e.png,60,404,l.png
92,DL364e.png,81,404,l.png
93,DL364e.png,82,404,l.png
94,DL364e.png,60,405,l.png
95,DL364e.png,130,425,l.png
96,DL364e.png,131,425,l.png
97,DL364e.png,131,426,l.png
98,DL364e.png,82,427,l.png
99,DL364e.png,82,428,l.png
100,DL364e.png,81,450,l.png
101,DL364e.png,82,450,l.png
102,DL364e.png,151,450,l.png
103,DL364e.png,152,450,l.png
104,DL364e.png,1251,450,l.png
105,DL364e.png,1252,450,l.png
106,DL364e.png,59,451,l.png
107,DL364e.png,60,451,l.png
108,DL364e.png,82,451,l.png
109,DL364e.png,106,451,l.png
110,DL364e.png,107,451,l.png
111,DL364e.png,152,451,l.png
112,DL364e.png,1252,451,l.png
113,DL364e.png,1323,451,l.png
114,DL364e.png,1324,451,l.png
115,DL364e.png,60,452,l.png
116,DL364e.png,107,452,l.png
117,DL364e.png,1324,452,l.png
118,DL364e.png,1344,475,l.png
119,DL364e.png,1344,476,l.png
120,DL364e.png,1251,477,l.png
121,DL364e.png,1252,477,l.png
122,DL364e.png,1273,477,l.png
123,DL364e.png,1274,477,l.png
124,DL364e.png,1252,478,l.png
125,DL364e.png,1274,478,l.png
126,DL364e.png,1369,524,l.png
127,DL364e.png,1369,525,l.png
128,DL364e.png,1390,547,l.png
129,DL364e.png,1390,548,l.png
130,DL364e.png,1389,575,l.png
131,DL364e.png,1390,575,l.png
132,DL364e.png,1390,576,l.png
133,DL364e.png,1412,617,l.png
134,DL364e.png,1413,617,l.png
135,DL364e.png,1413,618,l.png
136,DL364e.png,1391,671,l.png
137,DL364e.png,1392,671,l.png
138,DL364e.png,1392,672,l.png
139,DL364e.png,1344,455,b.png
140,DL364e.png,1274,505,b.png
141,DL364e.png,1275,505,b.png
142,DL364e.png,1299,552,b.png
143,DL368e.png,389,98,l.png
144,DL368e.png,389,99,l.png
145,DL368e.png,370,123,l.png
146,DL368e.png,371,123,l.png
147,DL368e.png,348,124,l.png
148,DL368e.png,349,124,l.png
149,DL368e.png,371,124,l.png
150,DL368e.png,349,125,l.png
151,DL368e.png,348,148,l.png
152,DL368e.png,349,148,l.png
153,DL368e.png,371,148,l.png
154,DL368e.png,372,148,l.png
155,DL368e.png,349,149,l.png
156,DL368e.png,372,149,l.png
157,DL368e.png,328,178,l.png
158,DL368e.png,328,179,l.png
159,DL368e.png,258,203,l.png
160,DL368e.png,259,203,l.png
161,DL368e.png,236,204,l.png
162,DL368e.png,237,204,l.png
163,DL368e.png,259,204,l.png
164,DL368e.png,237,205,l.png
165,DL368e.png,1869,226,l.png
166,DL368e.png,1870,226,l.png
167,DL368e.png,1843,227,l.png
168,DL368e.png,1844,227,l.png
169,DL368e.png,1870,227,l.png
170,DL368e.png,1844,228,l.png
171,DL368e.png,236,230,l.png
172,DL368e.png,237,230,l.png
173,DL368e.png,237,231,l.png
174,DL368e.png,458,253,l.png
175,DL368e.png,459,253,l.png
176,DL368e.png,459,254,l.png
177,DL368e.png,1845,282,l.png
178,DL368e.png,1846,282,l.png
179,DL368e.png,1846,283,l.png
180,DL368e.png,1371,404,l.png
181,DL368e.png,1372,404,l.png
182,DL368e.png,1372,405,l.png
183,DL368e.png,1323,450,l.png
184,DL368e.png,1324,450,l.png
185,DL368e.png,1103,451,l.png
186,DL368e.png,1104,451,l.png
187,DL368e.png,1324,451,l.png
188,DL368e.png,1346,451,l.png
189,DL368e.png,1347,451,l.png
190,DL368e.png,1104,452,l.png
191,DL368e.png,1104,473,l.png
192,DL368e.png,1105,473,l.png
193,DL368e.png,1105,474,l.png
194,DL368e.png,1520,501,l.png
195,DL368e.png,1521,501,l.png
196,DL368e.png,1521,502,l.png
197,DL368e.png,1165,503,l.png
198,DL368e.png,1186,503,l.png
199,DL368e.png,1187,503,l.png
200,DL368e.png,1165,504,l.png
201,DL368e.png,1187,504,l.png
202,DL368e.png,1521,525,l.png
203,DL368e.png,1522,525,l.png
204,DL368e.png,1436,526,l.png
205,DL368e.png,1437,526,l.png
206,DL368e.png,1458,526,l.png
207,DL368e.png,1459,526,l.png
208,DL368e.png,1437,527,l.png
209,DL368e.png,1459,527,l.png
210,DL368e.png,1436,551,l.png
211,DL368e.png,1437,551,l.png
212,DL368e.png,1458,551,l.png
213,DL368e.png,1459,551,l.png
214,DL368e.png,1480,551,l.png
215,DL368e.png,1481,551,l.png
216,DL368e.png,1437,552,l.png
217,DL368e.png,1436,573,l.png
218,DL368e.png,1437,573,l.png
219,DL368e.png,1458,573,l.png
220,DL368e.png,1459,573,l.png
221,DL368e.png,1437,574,l.png
222,DL368e.png,1459,574,l.png
223,DL368e.png,326,151,v.png
224,DL368e.png,1364,695,e.png
225,DL368e.png,1365,695,e.png
226,DL368e.png,1364,696,e.png
227,DL368e.png,1365,696,e.png
