,image,pt0,pt1,template
0,DL372e.png,-13.8495575221,20.2586206897,u.png
1,DL372e.png,30.3097345133,20.2586206897,u.png
2,DL372e.png,6.72566371681,25.4310344828,u.png
3,DL364e.png,30.1769911504,20.3017241379,u.png
4,DL364e.png,-12.6991150442,21.3362068966,u.png
5,DL364e.png,-11.7256637168,23.4051724138,u.png
6,DL364e.png,-11.7256637168,23.4482758621,u.png
7,DL364e.png,-12.6991150442,22.4137931034,d.png
8,DL364e.png,-12.6548672566,22.4137931034,d.png
9,DL364e.png,-12.610619469,22.4137931034,d.png
10,DL364e.png,39.1592920354,22.4137931034,d.png
11,DL364e.png,39.203539823,22.4137931034,d.png
12,DL364e.png,41.1061946903,25.6034482759,d.png
13,DL364e.png,41.1504424779,25.6034482759,d.png
14,DL364e.png,41.1946902655,25.6034482759,d.png
15,DL368e.png,-4.91150442478,12.8017241379,u.png
16,DL368e.png,56.8584070796,14.8706896552,u.png
17,DL368e.png,56.8584070796,14.9137931034,u.png
18,DL368e.png,30.4424778761,20.3017241379,u.png
19,DL368e.png,30.4424778761,20.3448275862,u.png
20,DL368e.png,39.9557522124,33.9655172414,b.png
21,DL368e.png,43.0973451327,34.0086206897,c.png
22,DL368e.png,2.87610619469,16.4655172414,d.png
23,DL368e.png,2.9203539823,16.4655172414,d.png
24,DL368e.png,43.0530973451,33.0172413793,s.png
25,DL368e.png,43.0973451327,33.0172413793,s.png
26,DL368e.png,43.0530973451,34.0086206897,s.png
27,DL368e.png,43.0973451327,34.0086206897,s.png
28,DL352e.png,-1.15044247788,14.9568965517,u.png
29,DL352e.png,-1.15044247788,15.0,u.png
30,DL352e.png,0.132743362832,15.0,u.png
31,DL352e.png,-1.15044247788,15.0431034483,u.png
32,DL352e.png,0.132743362832,15.0431034483,u.png
33,DL352e.png,-1.15044247788,15.0862068966,u.png
34,DL352e.png,0.132743362832,15.0862068966,u.png
35,DL352e.png,0.132743362832,15.1293103448,u.png
36,DL352e.png,8.49557522124,18.3189655172,u.png
37,DL352e.png,8.49557522124,18.3620689655,u.png
38,DL352e.png,33.0973451327,18.3620689655,u.png
39,DL352e.png,8.49557522124,18.4051724138,u.png
40,DL352e.png,33.0973451327,19.3103448276,u.png
41,DL352e.png,31.2831858407,20.2155172414,u.png
42,DL352e.png,31.2831858407,20.2586206897,u.png
43,DL352e.png,34.203539823,20.2586206897,u.png
44,DL352e.png,30.2654867257,20.3017241379,u.png
45,DL352e.png,30.3097345133,20.3017241379,u.png
46,DL352e.png,31.2831858407,20.3017241379,u.png
47,DL352e.png,2.56637168142,24.6120689655,u.png
48,DL352e.png,42.1238938053,26.8103448276,u.png
49,DL352e.png,42.1681415929,26.8103448276,u.png
50,DL352e.png,42.1238938053,28.75,u.png
51,DL352e.png,40.1769911504,34.0517241379,b.png
52,DL352e.png,40.2212389381,34.0517241379,b.png
53,DL352e.png,41.2389380531,34.0517241379,b.png
54,DL352e.png,39.1592920354,35.775862069,b.png
55,DL352e.png,39.203539823,35.775862069,b.png
56,DL352e.png,35.0442477876,39.0086206897,b.png
57,DL352e.png,53.8495575221,24.6982758621,c.png
58,DL352e.png,42.1238938053,38.0603448276,c.png
59,DL352e.png,-1.15044247788,15.0862068966,a.png
60,DL352e.png,0.132743362832,15.1293103448,a.png
61,DL352e.png,8.49557522124,18.4051724138,a.png
62,DL352e.png,53.8495575221,24.6982758621,a.png
63,DL352e.png,-12.7876106195,22.5,d.png
64,DL352e.png,-12.7433628319,22.5,d.png
65,DL352e.png,43.0530973451,36.9827586207,s.png
66,DL352e.png,42.1238938053,38.0603448276,s.png
67,DL353e.png,5.66371681416,15.9482758621,u.png
68,DL353e.png,5.66371681416,15.9913793103,u.png
69,DL353e.png,5.66371681416,16.0344827586,u.png
70,DL353e.png,31.2831858407,20.2155172414,u.png
71,DL353e.png,31.2831858407,20.2586206897,u.png
72,DL353e.png,30.2654867257,20.3017241379,u.png
73,DL353e.png,30.3097345133,20.3017241379,u.png
74,DL353e.png,31.2831858407,20.3017241379,u.png
75,DL353e.png,54.8672566372,16.25,b.png
76,DL353e.png,54.8672566372,17.3275862069,b.png
77,DL353e.png,54.8672566372,17.3706896552,b.png
78,DL353e.png,46.8584070796,19.1810344828,b.png
79,DL353e.png,47.9203539823,19.1810344828,b.png
80,DL353e.png,55.8849557522,19.3103448276,b.png
81,DL353e.png,53.8053097345,19.3534482759,b.png
82,DL353e.png,53.8495575221,19.3534482759,b.png
83,DL353e.png,50.8849557522,25.3017241379,b.png
84,DL353e.png,38.0973451327,34.9137931034,b.png
85,DL353e.png,36.1061946903,38.0172413793,b.png
86,DL353e.png,38.0530973451,38.0172413793,b.png
87,DL353e.png,38.0973451327,38.0172413793,b.png
88,DL353e.png,36.1061946903,38.0603448276,b.png
89,DL353e.png,36.0619469027,39.0086206897,b.png
90,DL353e.png,36.1061946903,39.0086206897,b.png
91,DL353e.png,37.1238938053,39.0086206897,b.png
92,DL353e.png,39.1592920354,39.0086206897,b.png
93,DL353e.png,52.7876106195,18.4051724138,c.png
94,DL353e.png,53.8495575221,18.4051724138,c.png
95,DL353e.png,5.66371681416,16.0344827586,a.png
96,DL353e.png,52.7876106195,18.4051724138,a.png
97,DL353e.png,53.8495575221,18.4051724138,a.png
98,DL353e.png,54.8672566372,19.3534482759,a.png
99,DL353e.png,54.9115044248,19.3534482759,a.png
100,DL353e.png,51.8584070796,24.3965517241,a.png
101,DL353e.png,51.8584070796,24.4396551724,a.png
102,DL369e.png,-10.0,13.75,u.png
103,DL369e.png,-12.1238938053,16.0775862069,u.png
104,DL369e.png,46.9911504425,26.724137931,u.png
105,DL369e.png,38.0088495575,31.1206896552,b.png
106,DL369e.png,35.9734513274,32.0689655172,b.png
107,DL369e.png,37.0353982301,32.0689655172,b.png
108,DL369e.png,38.0530973451,32.0689655172,b.png
109,DL369e.png,39.1592920354,32.0689655172,b.png
110,DL369e.png,39.1592920354,32.1120689655,b.png
111,DL369e.png,40.0442477876,32.974137931,b.png
112,DL369e.png,41.0619469027,32.974137931,b.png
113,DL369e.png,42.0353982301,32.974137931,b.png
114,DL369e.png,43.0088495575,32.974137931,b.png
115,DL369e.png,43.0530973451,32.974137931,b.png
116,DL369e.png,46.0619469027,32.974137931,b.png
117,DL369e.png,38.0088495575,33.0172413793,b.png
118,DL369e.png,44.1150442478,33.0172413793,b.png
119,DL369e.png,44.1592920354,33.0172413793,b.png
120,DL369e.png,42.0353982301,33.9655172414,b.png
121,DL369e.png,40.0442477876,34.0086206897,b.png
122,DL369e.png,41.0619469027,34.0086206897,b.png
123,DL369e.png,42.0353982301,34.0086206897,b.png
124,DL369e.png,45.1769911504,34.0086206897,b.png
125,DL369e.png,45.1769911504,34.0517241379,b.png
126,DL369e.png,-4.95575221239,10.6465517241,d.png
127,DL369e.png,-4.91150442478,10.6465517241,d.png
128,DL369e.png,-4.86725663717,10.6465517241,d.png
129,DL369e.png,-7.96460176991,12.8448275862,d.png
130,DL369e.png,-7.9203539823,12.8448275862,d.png
131,DL369e.png,-7.87610619469,12.8448275862,d.png
132,DL369e.png,-8.93805309735,12.8879310345,d.png
133,DL369e.png,-8.89380530973,12.8879310345,d.png
134,DL369e.png,-8.84955752212,12.8879310345,d.png
135,DL369e.png,-8.93805309735,13.7931034483,d.png
136,DL369e.png,-8.89380530973,13.7931034483,d.png
137,DL369e.png,-8.84955752212,13.7931034483,d.png
138,DL365e.png,-11.7699115044,20.3879310345,u.png
139,DL365e.png,-14.6902654867,24.4827586207,d.png
140,DL365e.png,-14.6460176991,24.4827586207,d.png
141,DL365e.png,-14.6017699115,24.4827586207,d.png
142,DL373e.png,-16.8584070796,21.2068965517,u.png
143,DL373e.png,-14.7345132743,21.2068965517,u.png
144,DL373e.png,-16.8584070796,21.25,u.png
145,DL373e.png,-15.796460177,21.25,u.png
146,DL373e.png,-14.7345132743,21.25,u.png
147,DL373e.png,-9.82300884956,26.5517241379,u.png
148,DL373e.png,-3.09734513274,26.6810344828,u.png
149,DL373e.png,-13.5840707965,22.4137931034,a.png
150,DL354e.png,38.0088495575,20.2155172414,u.png
151,DL354e.png,38.0088495575,21.25,u.png
152,DL354e.png,38.0088495575,21.2931034483,u.png
153,DL354e.png,47.9203539823,16.2068965517,b.png
154,DL354e.png,39.1592920354,34.9137931034,b.png
155,DL354e.png,35.1327433628,37.025862069,b.png
156,DL354e.png,36.1504424779,37.025862069,b.png
157,DL354e.png,36.1061946903,38.0172413793,b.png
158,DL354e.png,35.0884955752,38.0603448276,b.png
159,DL354e.png,35.1327433628,38.0603448276,b.png
160,DL354e.png,36.1061946903,38.0603448276,b.png
161,DL362e.png,-9.1592920354,13.5344827586,u.png
162,DL362e.png,-12.1681415929,14.6551724138,u.png
163,DL362e.png,-12.1681415929,14.6982758621,u.png
164,DL362e.png,36.9911504425,19.1379310345,u.png
165,DL362e.png,36.9911504425,19.1810344828,u.png
166,DL362e.png,38.0530973451,20.2155172414,u.png
167,DL362e.png,-15.8407079646,20.3448275862,u.png
168,DL362e.png,-14.6460176991,20.3879310345,u.png
169,DL362e.png,30.2212389381,20.3448275862,a.png
170,DL362e.png,30.2654867257,20.3448275862,a.png
171,DL358e.png,69.3362831858,16.5086206897,u.png
172,DL358e.png,69.3362831858,16.5517241379,u.png
173,DL358e.png,69.3362831858,16.5948275862,u.png
